J,nj,cluster_a,cluster_y,cluster_m,estimator,effname,abs.performance,abs.value_mean,abs.value_min,abs.value_max
20,10,FE,FE,RE,rmpw,"Y(1,gm1(0),gm2(0))",|Bias|,0.08075671383575608,0.006882533569357011,0.16528513525164948
20,10,FE,FE,RE,rmpw,"Y(1,gm1(0),gm2(0))",|Rel.Bias|,0.0524206006979144,0.004481786230847868,0.10714392420615293
20,10,FE,FE,RE,rmpw,"Y(1,gm1(1),gm2(0))",sqrtMSE,0.3365113028917262,0.2790817257549914,0.4050156576940437
20,10,FE,FE,RE,rmpw,"Y(1,gm1(1),gm2(0))",|Bias|,0.12107516297921228,0.05426703157844335,0.20023594389957167
20,10,FE,FE,RE,rmpw,"Y(1,gm1(1),gm2(0))",|Rel.Bias|,0.07738351059316406,0.03472233355376618,0.12782757850433932
20,10,FE,FE,RE,rmpw,"Y(1,gm1(1),gm2(1))",sqrtMSE,0.3379431090948783,0.27554004431483203,0.4045901172699325
20,10,FE,FE,RE,rmpw,"Y(1,gm1(1),gm2(1))",|Bias|,0.1525994023421418,0.08957606379424196,0.22518523463132623
20,10,FE,FE,RE,rmpw,"Y(1,gm1(1),gm2(1))",|Rel.Bias|,0.09529792427613624,0.05589436986627109,0.14060143478272116
20,10,FE,FE,RE,rmpw,"Y(1,gmjo(0))",sqrtMSE,0.32830146663470283,0.2795513645786996,0.3930183374035453
20,10,FE,FE,RE,rmpw,"Y(1,gmjo(0))",|Bias|,0.08257938559526945,0.008682468869741097,0.16668941404986393
20,10,FE,FE,RE,rmpw,"Y(1,gmjo(0))",|Rel.Bias|,0.05341914602037044,0.005632649592668959,0.10768622100910724
20,10,FE,FE,RE,rmpw,"Y(1,gmjo(1))",sqrtMSE,0.33417161633409753,0.2733397410772776,0.4000080519282833
20,10,FE,FE,RE,rmpw,"Y(1,gmjo(1))",|Bias|,0.14551377132257481,0.08238200428348731,0.217742394306107
20,10,FE,FE,RE,rmpw,"Y(1,gmjo(1))",|Rel.Bias|,0.09024777882332526,0.0510486562050063,0.13502126744799636
20,10,FE,FE,SL,multi,"IDE(,gmjo(0))",sqrtMSE,0.337216789590511,0.32349470998051455,0.3517413751136828
20,10,FE,FE,SL,multi,"IDE(,gmjo(0))",|Bias|,0.07440748357343274,0.061997852758296904,0.08397056167745456
20,10,FE,FE,SL,multi,"IDE(,gmjo(0))",|Rel.Bias|,0.27630341474140374,0.22889993167006134,0.31001009760478754
20,10,FE,FE,SL,multi,"IIE_M1(1,,gm2(0))",sqrtMSE,0.06383919738539869,0.06131124683254869,0.06564751019612089
20,10,FE,FE,SL,multi,"IIE_M1(1,,gm2(0))",|Bias|,0.0035874068981987944,2.377134878968194e-4,0.006348739243255172
